logger,sensor_id
20864823,S01
0,S02
20851273,S03
0,S04
20744246,S05
20864822,S06
20851268,S07
20864820,S08
20744236,S09
20851271,S10
20744241,S11
20744243,S12
20910466,S13
0,S14
20864818,S15
0,S16
20851267,S17
0,S18
0,S19
20864819,S20
20864824,S21
20864821,S22
20910481,S23
20910468,S24
20744244,S25
20910468,S26
20842552,S27
20744235,S28
20744232,S29
20744233,S30
20851274,S31
0,S32
0,S33
20851269,S34
20864815,S35
0,S36
20910470,S37
0,S38
20851272,S39
20910480,S40
0,S41
0,S42
20744237,S43
0,S44
20851270,S45
0,S46
0,S47
20910467,S48
0,S49
0,S50
0,S51
20744240,S52
20851275,S53
20851266,S54
0,S55
20910482,S56
20744245,S57
20744239,S58
20744242,S59
20744247,S60
20842545,S61
20864825,S62
20842551,S63
20842549,S64
20842550,S65
20842543,S66
20842546,S67
20842548,S68
20864817,S69
20842544,S70
20842547,S71
20864816,S72
